image_path,card_name,card_number,card_set
dataset/Dragon Majesty/Dragon Majesty_Fiery Flint_60.jpg,Fiery Flint,60,Dragon Majesty
dataset/Hidden Fates/Hidden Fates_Misty's Water Command_63.jpg,Misty's Water Command,63,Hidden Fates
dataset/Champion's Path/Champion's Path_Sonia_65.jpg,Sonia,65,Champion's Path
dataset/BW Black Star Promos/BW Black Star Promos_Tropical Beach_BW50.jpg,Tropical Beach,BW50,BW Black Star Promos
dataset/Hidden Fates/Hidden Fates_Pokémon Center Lady_64.jpg,Pokémon Center Lady,64,Hidden Fates
dataset/Champion's Path/Champion's Path_Team Yell Grunt_67.jpg,Team Yell Grunt,67,Champion's Path
dataset/Dragon Majesty/Dragon Majesty_Lance ◇_61.jpg,Lance ◇,61,Dragon Majesty
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Aqua Schemer_69.jpg,Team Aqua Schemer,69,Team Magma vs Team Aqua
dataset/Dragon Majesty/Dragon Majesty_Zinnia_64.jpg,Zinnia,64,Dragon Majesty
dataset/Neo Revelation/Neo Revelation_Balloon Berry_60.jpg,Balloon Berry,60,Neo Revelation
dataset/Hidden Fates/Hidden Fates_Giovanni's Exile_67.jpg,Giovanni's Exile,67,Hidden Fates
dataset/Hidden Fates/Hidden Fates_Sabrina's Suggestion_65.jpg,Sabrina's Suggestion,65,Hidden Fates
dataset/Dragon Majesty/Dragon Majesty_Wela Volcano Park_63.jpg,Wela Volcano Park,63,Dragon Majesty
dataset/Neo Revelation/Neo Revelation_Healing Field_61.jpg,Healing Field,61,Neo Revelation
dataset/Dragon Majesty/Dragon Majesty_Switch Raft_62.jpg,Switch Raft,62,Dragon Majesty
dataset/Champion's Path/Champion's Path_Turffield Stadium_68.jpg,Turffield Stadium,68,Champion's Path
dataset/Neo Revelation/Neo Revelation_Pokémon Breeder Fields_62.jpg,Pokémon Breeder Fields,62,Neo Revelation
dataset/Neo Revelation/Neo Revelation_Rocket's Hideout_63.jpg,Rocket's Hideout,63,Neo Revelation
dataset/Champion's Path/Champion's Path_Hop_73.jpg,Hop,73,Champion's Path
dataset/Base/Base_Computer Search_71.jpg,Computer Search,71,Base
dataset/Neo Revelation/Neo Revelation_Old Rod_64.jpg,Old Rod,64,Neo Revelation
dataset/Legend Maker/Legend Maker_Cursed Stone_72.jpg,Cursed Stone,72,Legend Maker
dataset/Shining Legends/Shining Legends_Great Ball_60.jpg,Great Ball,60,Shining Legends
dataset/Shining Legends/Shining Legends_Energy Retrieval_59.jpg,Energy Retrieval,59,Shining Legends
dataset/Ancient Origins/Ancient Origins_Eco Arm_71.jpg,Eco Arm,71,Ancient Origins
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Archie_71.jpg,Archie,71,Team Magma vs Team Aqua
dataset/HS—Unleashed/HS—Unleashed_Cheerleader's Cheer_71.jpg,Cheerleader's Cheer,71,HS—Unleashed
dataset/Base/Base_Devolution Spray_72.jpg,Devolution Spray,72,Base
dataset/Shining Legends/Shining Legends_Hau_61.jpg,Hau,61,Shining Legends
dataset/Ancient Origins/Ancient Origins_Ampharos Spirit Link_70.jpg,Ampharos Spirit Link,70,Ancient Origins
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Magma Schemer_70.jpg,Team Magma Schemer,70,Team Magma vs Team Aqua
dataset/Hidden Fates/Hidden Fates_Koga's Trap_59.jpg,Koga's Trap,59,Hidden Fates
dataset/Ancient Origins/Ancient Origins_Energy Recycler_72.jpg,Energy Recycler,72,Ancient Origins
dataset/Legend Maker/Legend Maker_Fieldworker_73.jpg,Fieldworker,73,Legend Maker
dataset/Ancient Origins/Ancient Origins_Ace Trainer_69.jpg,Ace Trainer,69,Ancient Origins
dataset/Shining Legends/Shining Legends_Damage Mover_58.jpg,Damage Mover,58,Shining Legends
dataset/Base/Base_Clefairy Doll_70.jpg,Clefairy Doll,70,Base
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Strength Charm_74.jpg,Strength Charm,74,Team Magma vs Team Aqua
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Dual Ball_72.jpg,Dual Ball,72,Team Magma vs Team Aqua
dataset/HS—Undaunted/HS—Undaunted_Burned Tower_71.jpg,Burned Tower,71,HS—Undaunted
dataset/Legend Maker/Legend Maker_Full Flame_74.jpg,Full Flame,74,Legend Maker
dataset/Legend Maker/Legend Maker_Power Tree_76.jpg,Power Tree,76,Legend Maker
dataset/Hidden Fates/Hidden Fates_Misty's Cerulean City Gym_61.jpg,Misty's Cerulean City Gym,61,Hidden Fates
dataset/Shining Legends/Shining Legends_Pokémon Breeder_63.jpg,Pokémon Breeder,63,Shining Legends
dataset/Ancient Origins/Ancient Origins_Forest of Giant Plants_74.jpg,Forest of Giant Plants,74,Ancient Origins
dataset/HS—Unleashed/HS—Unleashed_Emcee's Chatter_73.jpg,Emcee's Chatter,73,HS—Unleashed
dataset/Plasma Blast/Plasma Blast_Caitlin_78.jpg,Caitlin,78,Plasma Blast
dataset/Base/Base_Item Finder_74.jpg,Item Finder,74,Base
dataset/HS—Unleashed/HS—Unleashed_Dual Ball_72.jpg,Dual Ball,72,HS—Unleashed
dataset/Generations/Generations_Crushing Hammer_60.jpg,Crushing Hammer,60,Generations
dataset/Dragon Majesty/Dragon Majesty_Blaine's Last Stand_69.jpg,Blaine's Last Stand,69,Dragon Majesty
dataset/Shining Legends/Shining Legends_Lillie_62.jpg,Lillie,62,Shining Legends
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Maxie_73.jpg,Maxie,73,Team Magma vs Team Aqua
dataset/Generations/Generations_Clemont_59.jpg,Clemont,59,Generations
dataset/Legend Maker/Legend Maker_Giant Stump_75.jpg,Giant Stump,75,Legend Maker
dataset/Base/Base_Impostor Professor Oak_73.jpg,Impostor Professor Oak,73,Base
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Aqua Ball_75.jpg,Team Aqua Ball,75,Team Magma vs Team Aqua
dataset/Ancient Origins/Ancient Origins_Hex Maniac_75.jpg,Hex Maniac,75,Ancient Origins
dataset/HS—Unleashed/HS—Unleashed_Energy Returner_74.jpg,Energy Returner,74,HS—Unleashed
dataset/HS—Undaunted/HS—Undaunted_Defender_72.jpg,Defender,72,HS—Undaunted
dataset/Generations/Generations_Energy Switch_61.jpg,Energy Switch,61,Generations
dataset/Plasma Blast/Plasma Blast_Cover Fossil_79.jpg,Cover Fossil,79,Plasma Blast
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Aqua Belt_76.jpg,Team Aqua Belt,76,Team Magma vs Team Aqua
dataset/Team Rocket/Team Rocket_Here Comes Team Rocket!_71.jpg,Here Comes Team Rocket!,71,Team Rocket
dataset/Champion's Path/Champion's Path_Kabu_77.jpg,Kabu,77,Champion's Path
dataset/Base/Base_Lass_75.jpg,Lass,75,Base
dataset/Shining Legends/Shining Legends_Pokémon Catcher_64.jpg,Pokémon Catcher,64,Shining Legends
dataset/Base/Base_Pokémon Breeder_76.jpg,Pokémon Breeder,76,Base
dataset/Jungle/Jungle_Poké Ball_64.jpg,Poké Ball,64,Jungle
dataset/Dragon Majesty/Dragon Majesty_Zinnia_70.jpg,Zinnia,70,Dragon Majesty
dataset/HS—Undaunted/HS—Undaunted_Energy Exchanger_73.jpg,Energy Exchanger,73,HS—Undaunted
dataset/Champion's Path/Champion's Path_Piers_78.jpg,Piers,78,Champion's Path
dataset/Legend Maker/Legend Maker_Strange Cave_77.jpg,Strange Cave,77,Legend Maker
dataset/Generations/Generations_Evosoda_62.jpg,Evosoda,62,Generations
dataset/HS—Unleashed/HS—Unleashed_Engineer's Adjustments_75.jpg,Engineer's Adjustments,75,HS—Unleashed
dataset/Generations/Generations_Imakuni?_63.jpg,Imakuni?,63,Generations
dataset/Shining Legends/Shining Legends_Sophocles_65.jpg,Sophocles,65,Shining Legends
dataset/Plasma Blast/Plasma Blast_Energy Retrieval_80.jpg,Energy Retrieval,80,Plasma Blast
dataset/Crystal Guardians/Crystal Guardians_Castaway_72.jpg,Castaway,72,Crystal Guardians
dataset/Plasma Blast/Plasma Blast_Iris_81.jpg,Iris,81,Plasma Blast
dataset/Legend Maker/Legend Maker_Mysterious Fossil_79.jpg,Mysterious Fossil,79,Legend Maker
dataset/Plasma Blast/Plasma Blast_Plume Fossil_82.jpg,Plume Fossil,82,Plasma Blast
dataset/HS—Unleashed/HS—Unleashed_Good Rod_76.jpg,Good Rod,76,HS—Unleashed
dataset/Shining Legends/Shining Legends_Super Scoop Up_66.jpg,Super Scoop Up,66,Shining Legends
dataset/Crystal Guardians/Crystal Guardians_Bill's Maintenance_71.jpg,Bill's Maintenance,71,Crystal Guardians
dataset/Emerald/Emerald_Battle Frontier_75.jpg,Battle Frontier,75,Emerald
dataset/Ancient Origins/Ancient Origins_Lucky Helmet_77.jpg,Lucky Helmet,77,Ancient Origins
dataset/Champion's Path/Champion's Path_Suspicious Food Tin_80.jpg,Suspicious Food Tin,80,Champion's Path
dataset/Plasma Blast/Plasma Blast_Pokémon Catcher_83.jpg,Pokémon Catcher,83,Plasma Blast
dataset/Flashfire/Flashfire_Blacksmith_88.jpg,Blacksmith,88,Flashfire
dataset/Team Rocket/Team Rocket_Rocket's Sneak Attack_72.jpg,Rocket's Sneak Attack,72,Team Rocket
dataset/Base/Base_Pokémon Trader_77.jpg,Pokémon Trader,77,Base
dataset/Call of Legends/Call of Legends_Cheerleader's Cheer_76.jpg,Cheerleader's Cheer,76,Call of Legends
dataset/Team Rocket/Team Rocket_The Boss's Way_73.jpg,The Boss's Way,73,Team Rocket
dataset/Shining Legends/Shining Legends_Switch_67.jpg,Switch,67,Shining Legends
dataset/Call of Legends/Call of Legends_Copycat_77.jpg,Copycat,77,Call of Legends
dataset/Crystal Guardians/Crystal Guardians_Celio's Network_73.jpg,Celio's Network,73,Crystal Guardians
dataset/Ancient Origins/Ancient Origins_Faded Town_73.jpg,Faded Town,73,Ancient Origins
dataset/Hidden Fates/Hidden Fates_Jessie & James_68.jpg,Jessie & James,68,Hidden Fates
dataset/Team Rocket/Team Rocket_Challenge!_74.jpg,Challenge!,74,Team Rocket
dataset/Crystal Guardians/Crystal Guardians_Cessation Crystal_74.jpg,Cessation Crystal,74,Crystal Guardians
dataset/Generations/Generations_Max Revive_65.jpg,Max Revive,65,Generations
dataset/Ancient Origins/Ancient Origins_Lysandre_78.jpg,Lysandre,78,Ancient Origins
dataset/Emerald/Emerald_Double Full Heal_76.jpg,Double Full Heal,76,Emerald
dataset/HS—Undaunted/HS—Undaunted_Ruins of Alph_76.jpg,Ruins of Alph,76,HS—Undaunted
dataset/Base/Base_Super Energy Removal_79.jpg,Super Energy Removal,79,Base
dataset/HS—Unleashed/HS—Unleashed_Judge_78.jpg,Judge,78,HS—Unleashed
dataset/Legend Maker/Legend Maker_Rainbow Energy_81.jpg,Rainbow Energy,81,Legend Maker
dataset/HS—Unleashed/HS—Unleashed_Interviewer's Questions_77.jpg,Interviewer's Questions,77,HS—Unleashed
dataset/Evolutions/Evolutions_Blastoise Spirit Link_73.jpg,Blastoise Spirit Link,73,Evolutions
dataset/Ancient Origins/Ancient Origins_Level Ball_76.jpg,Level Ball,76,Ancient Origins
dataset/HS—Undaunted/HS—Undaunted_Flower Shop Lady_74.jpg,Flower Shop Lady,74,HS—Undaunted
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Aqua Conspirator_77.jpg,Team Aqua Conspirator,77,Team Magma vs Team Aqua
dataset/Plasma Blast/Plasma Blast_Professor Juniper_84.jpg,Professor Juniper,84,Plasma Blast
dataset/Shining Legends/Shining Legends_Ultra Ball_68.jpg,Ultra Ball,68,Shining Legends
dataset/Emerald/Emerald_Lanette's Net Search_77.jpg,Lanette's Net Search,77,Emerald
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Aqua Hideout_78.jpg,Team Aqua Hideout,78,Team Magma vs Team Aqua
dataset/Call of Legends/Call of Legends_Dual Ball_78.jpg,Dual Ball,78,Call of Legends
dataset/HS—Undaunted/HS—Undaunted_Legend Box_75.jpg,Legend Box,75,HS—Undaunted
dataset/Legend Maker/Legend Maker_React Energy_82.jpg,React Energy,82,Legend Maker
dataset/Generations/Generations_Olympia_66.jpg,Olympia,66,Generations
dataset/Power Keepers/Power Keepers_Battle Frontier_71.jpg,Battle Frontier,71,Power Keepers
dataset/Neo Discovery/Neo Discovery_Fossil Egg_72.jpg,Fossil Egg,72,Neo Discovery
dataset/HS—Undaunted/HS—Undaunted_Sage's Training_77.jpg,Sage's Training,77,HS—Undaunted
dataset/Base/Base_Energy Retrieval_81.jpg,Energy Retrieval,81,Base
dataset/Call of Legends/Call of Legends_Lost Remover_80.jpg,Lost Remover,80,Call of Legends
dataset/Ancient Origins/Ancient Origins_Tyranitar Spirit Link_81.jpg,Tyranitar Spirit Link,81,Ancient Origins
dataset/Shining Legends/Shining Legends_Warp Energy_70.jpg,Warp Energy,70,Shining Legends
dataset/Neo Discovery/Neo Discovery_Hyper Devolution Spray_73.jpg,Hyper Devolution Spray,73,Neo Discovery
dataset/Call of Legends/Call of Legends_Lost World_81.jpg,Lost World,81,Call of Legends
dataset/Team Rocket/Team Rocket_Nightly Garbage Run_77.jpg,Nightly Garbage Run,77,Team Rocket
dataset/Plasma Blast/Plasma Blast_Silver Bangle_88.jpg,Silver Bangle,88,Plasma Blast
dataset/Evolutions/Evolutions_Brock's Grit_74.jpg,Brock's Grit,74,Evolutions
dataset/Crystal Guardians/Crystal Guardians_Dual Ball_78.jpg,Dual Ball,78,Crystal Guardians
dataset/HS—Undaunted/HS—Undaunted_Darkness Energy_79.jpg,Darkness Energy,79,HS—Undaunted
dataset/Dragon/Dragon_Balloon Berry_82.jpg,Balloon Berry,82,Dragon
dataset/Emerald/Emerald_Oran Berry_80.jpg,Oran Berry,80,Emerald
dataset/Base/Base_Maintenance_83.jpg,Maintenance,83,Base
dataset/Call of Legends/Call of Legends_Interviewer's Questions_79.jpg,Interviewer's Questions,79,Call of Legends
dataset/Shining Legends/Shining Legends_Ultra Ball_68a.jpg,Ultra Ball,68a,Shining Legends
dataset/Flashfire/Flashfire_Fiery Torch_89.jpg,Fiery Torch,89,Flashfire
dataset/Plasma Blast/Plasma Blast_Rare Candy_85.jpg,Rare Candy,85,Plasma Blast
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Magma Ball_80.jpg,Team Magma Ball,80,Team Magma vs Team Aqua
dataset/Evolutions/Evolutions_Charizard Spirit Link_75.jpg,Charizard Spirit Link,75,Evolutions
dataset/Shining Legends/Shining Legends_Double Colorless Energy_69.jpg,Double Colorless Energy,69,Shining Legends
dataset/Plasma Blast/Plasma Blast_Reversal Trigger_86.jpg,Reversal Trigger,86,Plasma Blast
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Magma Belt_81.jpg,Team Magma Belt,81,Team Magma vs Team Aqua
dataset/Ancient Origins/Ancient Origins_Sceptile Spirit Link_80.jpg,Sceptile Spirit Link,80,Ancient Origins
dataset/Dragon Majesty/Dragon Majesty_Switch Raft_77.jpg,Switch Raft,77,Dragon Majesty
dataset/Base/Base_Full Heal_82.jpg,Full Heal,82,Base
dataset/Dragon Majesty/Dragon Majesty_Dragon Talon_75.jpg,Dragon Talon,75,Dragon Majesty
dataset/Crystal Guardians/Crystal Guardians_Crystal Beach_75.jpg,Crystal Beach,75,Crystal Guardians
dataset/Team Rocket/Team Rocket_Digger_75.jpg,Digger,75,Team Rocket
dataset/Generations/Generations_Maintenance_64.jpg,Maintenance,64,Generations
dataset/HS—Unleashed/HS—Unleashed_Life Herb_79.jpg,Life Herb,79,HS—Unleashed
dataset/Ancient Origins/Ancient Origins_Paint Roller_79.jpg,Paint Roller,79,Ancient Origins
dataset/Flashfire/Flashfire_Lysandre_90.jpg,Lysandre,90,Flashfire
dataset/Generations/Generations_Pokémon Center Lady_68.jpg,Pokémon Center Lady,68,Generations
dataset/Unseen Forces/Unseen Forces_Curse Powder_80.jpg,Curse Powder,80,Unseen Forces
dataset/Plasma Blast/Plasma Blast_Root Fossil Lileep_87.jpg,Root Fossil Lileep,87,Plasma Blast
dataset/Base/Base_Scoop Up_78.jpg,Scoop Up,78,Base
dataset/Crystal Guardians/Crystal Guardians_Double Full Heal_77.jpg,Double Full Heal,77,Crystal Guardians
dataset/Team Rocket/Team Rocket_Goop Gas Attack_78.jpg,Goop Gas Attack,78,Team Rocket
dataset/Plasma Blast/Plasma Blast_Silver Mirror_89.jpg,Silver Mirror,89,Plasma Blast
dataset/Emerald/Emerald_Lum Berry_78.jpg,Lum Berry,78,Emerald
dataset/Base/Base_Defender_80.jpg,Defender,80,Base
